iter	Logloss
0	0.6887306481
1	0.6843069891
2	0.6807272448
3	0.6775181345
4	0.674208998
5	0.6714290498
6	0.6692845831
7	0.6672435342
8	0.6650092155
9	0.6631071412
10	0.6614546306
11	0.6597326204
12	0.658113772
13	0.6566331701
14	0.6552826896
15	0.6540081858
16	0.6529318206
17	0.6518480117
18	0.6510040283
19	0.6499896106
20	0.649202283
21	0.6485602765
22	0.6477818095
23	0.6471788717
24	0.6465385055
25	0.6458575223
26	0.6452803649
27	0.6446815909
28	0.6441555542
29	0.6437100648
30	0.6432124616
31	0.6427834027
32	0.6423772455
33	0.641989572
34	0.6416823615
35	0.6413564152
36	0.6410223575
37	0.6407130196
38	0.6403753988
39	0.640128928
40	0.6397988092
41	0.6396102121
42	0.6393268052
43	0.6390617398
44	0.6388539673
45	0.6385274141
46	0.6383194916
47	0.6380891949
48	0.6378658365
49	0.6376074381
50	0.6373533379
51	0.6371470934
52	0.6369407643
53	0.6367629002
54	0.6365670038
55	0.63641249
56	0.6362910272
57	0.6361226805
58	0.6359673245
59	0.6358303312
60	0.6356831235
61	0.6355266293
62	0.635395143
63	0.6352421577
64	0.6351322963
65	0.6349318066
66	0.6348002978
67	0.634703781
68	0.6345823098
69	0.6344649932
70	0.6343424131
71	0.6342026463
72	0.6340856771
73	0.6340058815
74	0.6338796969
75	0.6337531406
76	0.6336274006
77	0.6335002914
78	0.6334046459
79	0.6333098076
80	0.6331980468
81	0.6331061567
82	0.6329824602
83	0.6328847906
84	0.6328187888
85	0.6327377398
86	0.6326432541
87	0.6325765437
88	0.6324946236
89	0.6324198196
90	0.632341664
91	0.6322746349
92	0.6322069254
93	0.6321268944
94	0.6320180245
95	0.6319371482
96	0.6318552954
97	0.6317388878
98	0.6316737009
99	0.6316270938
100	0.631563411
101	0.6314718343
102	0.6314025941
103	0.6313519834
104	0.6312843675
105	0.6311865695
106	0.6311120204
107	0.6310231509
108	0.6309526902
109	0.6308608955
110	0.6307553633
111	0.6306905282
112	0.6305926629
113	0.6305501485
114	0.6304895882
115	0.6304325495
116	0.6303648345
117	0.6303102996
118	0.6302392797
119	0.6301474098
120	0.6300829069
121	0.6300259821
122	0.6299513022
123	0.6298699321
124	0.6297970599
125	0.6297711273
126	0.6297180531
127	0.6296720807
128	0.6296239983
129	0.6295630313
130	0.6295137531
131	0.629453396
132	0.6294116499
133	0.6293315396
134	0.6292784615
135	0.6292507858
136	0.6291890807
137	0.6291225945
138	0.6290538399
139	0.6289852786
140	0.6289362896
141	0.6288860316
142	0.6288350102
143	0.6287873629
144	0.6287152638
145	0.6286580715
146	0.6286209796
147	0.6285770476
148	0.6285331029
149	0.6284965862
150	0.628451199
151	0.6284017147
152	0.6283443289
153	0.6282759054
154	0.6282038329
155	0.6281098126
156	0.6280347102
157	0.6279914944
158	0.6279550212
159	0.6279014782
160	0.6278394799
161	0.6277940322
162	0.6277501249
163	0.6277020437
164	0.6276741288
165	0.6276193513
166	0.6275694581
167	0.6275230108
168	0.6274688577
169	0.6274178539
170	0.6273596157
171	0.6273247047
172	0.6272638714
173	0.6271958317
174	0.6271400374
175	0.6271152684
176	0.6270981873
177	0.6270583083
178	0.6270141682
179	0.6269635096
180	0.6268990668
181	0.6268627161
182	0.6268213325
183	0.6267875816
184	0.6267519341
185	0.6267099184
186	0.6266780867
187	0.6266163198
188	0.6265542645
189	0.626506931
190	0.6264717724
191	0.626427928
192	0.6263820898
193	0.6263212219
194	0.626250663
195	0.6262037429
196	0.6261574174
197	0.6260959684
198	0.6260564579
199	0.6259970381
200	0.625938331
201	0.6258733937
202	0.6258368913
203	0.625771924
204	0.6257289604
205	0.6256891567
206	0.625629334
207	0.6255745985
208	0.625531794
209	0.6254773014
210	0.6254279885
211	0.6253801245
212	0.6253163001
213	0.6252597531
214	0.6252070247
215	0.6251407953
216	0.6250824477
217	0.6250273508
218	0.6249567598
219	0.624905582
220	0.6248702875
221	0.6248002755
222	0.624760596
223	0.6246962035
224	0.6246449185
225	0.6245955326
226	0.6245248464
