iter	Logloss
227	0.6244596054
228	0.6244004172
229	0.6243425218
230	0.624288309
231	0.6242163444
232	0.6241564548
233	0.6240936575
234	0.624024385
235	0.623959024
236	0.6238786586
237	0.6238421555
238	0.6237865472
239	0.6237188925
240	0.6236611258
241	0.6236001783
242	0.6235481243
243	0.623472847
244	0.6234073318
245	0.6233502362
246	0.6232833183
247	0.6232188095
248	0.6231484897
249	0.6231012087
250	0.6230375257
251	0.6229617399
252	0.6229100489
253	0.6228396427
254	0.6227596272
255	0.6226811386
256	0.622589091
257	0.6225274531
258	0.6224684329
259	0.6224061783
260	0.6223599123
261	0.6222957175
262	0.6222381922
263	0.6221776528
264	0.6221075742
265	0.6220468356
266	0.621984353
267	0.6219150865
268	0.6218777423
269	0.6218304589
270	0.6217562051
271	0.6216989788
272	0.6216448996
273	0.6215940972
274	0.6215384795
275	0.6215082022
276	0.6214484845
277	0.6213970566
278	0.6213509915
279	0.6212926084
280	0.6212196191
281	0.62116278
282	0.6210867602
283	0.6210362408
284	0.6209592754
285	0.6209006306
286	0.6208504355
287	0.6208057845
288	0.620739964
289	0.6206813852
290	0.6206166901
291	0.6205511244
292	0.6205018042
293	0.6204640295
294	0.6204057785
295	0.6203470785
296	0.6203013113
297	0.6202329577
298	0.6201743664
299	0.6201021699
300	0.6200517679
301	0.6200071865
302	0.6199535335
303	0.6198798166
304	0.619828858
305	0.6197436014
306	0.6196837824
307	0.6196399341
308	0.6195564642
309	0.6195035693
310	0.6194097624
311	0.6193442916
312	0.6192841341
313	0.6192278761
314	0.6191668039
315	0.6191253478
316	0.6190691685
317	0.6190142741
318	0.6189554565
319	0.6189065247
320	0.6188533388
321	0.6187955248
322	0.6187484789
323	0.6186933462
324	0.6186324643
325	0.6185617176
326	0.618522064
327	0.6184688198
328	0.6184188451
329	0.6183673287
330	0.6182816473
331	0.6182328218
332	0.6181571239
333	0.6181019919
334	0.6180423241
335	0.617978355
336	0.6179183283
337	0.6178700191
338	0.6178140591
339	0.617783532
340	0.6177100985
341	0.6176477712
342	0.6175915792
343	0.6175518711
344	0.6175163219
345	0.6174592445
346	0.6174169089
347	0.6173396333
348	0.6172788215
349	0.6172191182
350	0.6171634622
351	0.6170966893
352	0.6170512219
353	0.6170080518
354	0.6169559071
355	0.616902397
356	0.6168474217
357	0.6167975386
358	0.616735636
359	0.6166764934
360	0.6166181062
361	0.6165432119
362	0.6164970238
363	0.6164519392
364	0.6164045651
365	0.6163648279
366	0.6163217608
367	0.6162564152
368	0.6161946114
369	0.6161538166
370	0.6160993454
371	0.6160465881
372	0.6159991843
373	0.6159363113
374	0.6159030003
375	0.6158554955
376	0.615790715
377	0.6157431886
378	0.6156904361
379	0.615620093
380	0.6155764678
381	0.6155369265
382	0.6154854085
383	0.6154309994
384	0.6153844003
385	0.6153460995
386	0.6152924224
387	0.6152146994
388	0.615159008
389	0.6151279643
390	0.6150926864
391	0.6150529528
392	0.615007858
393	0.6149547312
394	0.6148756285
395	0.6148096961
396	0.6147678564
397	0.6147412292
398	0.6146966882
399	0.6146306018
400	0.6145748594
401	0.6145298574
402	0.614479676
403	0.6144171646
404	0.6143862373
405	0.614331623
406	0.6142724623
407	0.6142201838
408	0.6141664066
409	0.6141008861
410	0.6140418534
411	0.6139729466
412	0.6139292632
413	0.613872621
414	0.6138182835
415	0.6137843023
416	0.6137196488
417	0.6136776154
418	0.6136154712
419	0.6135543082
420	0.6135093483
421	0.6134546832
422	0.6133968835
423	0.6133504731
424	0.6132919917
425	0.6132524123
426	0.6132009491
427	0.6131725981
428	0.6131113831
429	0.6130806296
430	0.6130209389
431	0.6129690723
432	0.6129301243
433	0.6128940416
434	0.61285703
435	0.6128317589
436	0.612784659
437	0.6127438537
438	0.6127101649
439	0.6126579431
440	0.6126156787
441	0.6125808883
442	0.6125244153
443	0.6124865472
444	0.6124334907
445	0.6124027081
446	0.6123503375
447	0.6123029379
448	0.6122475447
449	0.6122154208
450	0.6121941369
451	0.6121422087
452	0.6121012376
453	0.6120605211
454	0.6120082676
455	0.611971445
456	0.6119283164
457	0.6118734134
458	0.6118152326
459	0.6117639277
460	0.6117087639
461	0.611654836
462	0.6116097428
463	0.611552331
464	0.6115013187
465	0.6114376531
466	0.6113873039
467	0.6113628186
468	0.6112986979
469	0.6112666917
470	0.6112272001
471	0.6111710828
472	0.6111378295
473	0.6110893781
474	0.6110587487
475	0.6110209667
476	0.6109801386
477	0.6109298411
478	0.6108656339
479	0.6108116233
480	0.610758049
481	0.6107031149
482	0.6106600013
483	0.6106111924
484	0.6105723452
485	0.6105188119
486	0.6104733614
487	0.6104254615
488	0.6103790235
489	0.6103259203
490	0.6102728742
491	0.6102189737
492	0.6101657323
493	0.6101257518
494	0.6100726379
495	0.6100364651
496	0.6099813936
497	0.6099437736
498	0.6098952037
499	0.6098392672
500	0.6097882637
501	0.6097376525
502	0.6097021733
503	0.6096553878
504	0.6096225861
505	0.6095742345
506	0.6095349897
507	0.6094806537
508	0.6094379598
509	0.6093865101
510	0.6093524628
511	0.6093078664
512	0.6092720947
513	0.609222616
514	0.6091715865
515	0.609134792
516	0.609121927
517	0.6090998774
518	0.6090754329
519	0.6090396813
520	0.6089940076
521	0.6089479024
522	0.608902288
523	0.6088519195
524	0.6087886176
525	0.6087514697
526	0.6087036534
527	0.6086632689
528	0.6086191848
529	0.6085728791
530	0.6085218673
531	0.6084960677
532	0.6084794441
533	0.6084449971
534	0.6083971809
535	0.6083458713
536	0.6083277879
